STATENAME,STATE_ABR,COUNTY_FIPS,COUNTY NAME,UV_ Wh/m_
Pennsylvania,PA,42001,Adams,3961
Pennsylvania,PA,42003,Allegheny,3776
Pennsylvania,PA,42005,Armstrong,3773
Pennsylvania,PA,42007,Beaver,3749
Pennsylvania,PA,42009,Bedford,3866
Pennsylvania,PA,42011,Berks,3897
Pennsylvania,PA,42013,Blair,3826
Pennsylvania,PA,42015,Bradford,3701
Pennsylvania,PA,42017,Bucks,3924
Pennsylvania,PA,42019,Butler,3749
Pennsylvania,PA,42021,Cambria,3798
Pennsylvania,PA,42023,Cameron,3747
Pennsylvania,PA,42025,Carbon,3804
Pennsylvania,PA,42027,Centre,3794
Pennsylvania,PA,42029,Chester,3973
Pennsylvania,PA,42031,Clarion,3752
Pennsylvania,PA,42033,Clearfield,3778
Pennsylvania,PA,42035,Clinton,3762
Pennsylvania,PA,42037,Columbia,3789
Pennsylvania,PA,42039,Crawford,3716
Pennsylvania,PA,42041,Cumberland,3920
Pennsylvania,PA,42043,Dauphin,3890
Pennsylvania,PA,42045,Delaware,3988
Pennsylvania,PA,42047,Elk,3745
Pennsylvania,PA,42049,Erie,3726
Pennsylvania,PA,42051,Fayette,3789
Pennsylvania,PA,42053,Forest,3740
Pennsylvania,PA,42055,Franklin,3935
Pennsylvania,PA,42057,Fulton,3910
Pennsylvania,PA,42059,Greene,3777
Pennsylvania,PA,42061,Huntingdon,3858
Pennsylvania,PA,42063,Indiana,3789
Pennsylvania,PA,42065,Jefferson,3762
Pennsylvania,PA,42067,Juniata,3861
Pennsylvania,PA,42069,Lackawanna,3741
Pennsylvania,PA,42071,Lancaster,3956
Pennsylvania,PA,42073,Lawrence,3723
Pennsylvania,PA,42075,Lebanon,3902
Pennsylvania,PA,42077,Lehigh,3867
Pennsylvania,PA,42079,Luzerne,3766
Pennsylvania,PA,42081,Lycoming,3746
Pennsylvania,PA,42083,McKean,3718
Pennsylvania,PA,42085,Mercer,3710
Pennsylvania,PA,42087,Mifflin,3843
Pennsylvania,PA,42089,Monroe,3798
Pennsylvania,PA,42091,Montgomery,3941
Pennsylvania,PA,42093,Montour,3800
Pennsylvania,PA,42095,Northampton,3855
Pennsylvania,PA,42097,Northumberland,3823
Pennsylvania,PA,42099,Perry,3882
Pennsylvania,PA,42101,Philadelphia,3977
Pennsylvania,PA,42103,Pike,3786
Pennsylvania,PA,42105,Potter,3708
Pennsylvania,PA,42107,Schuylkill,3836
Pennsylvania,PA,42109,Snyder,3831
Pennsylvania,PA,42111,Somerset,3807
Pennsylvania,PA,42113,Sullivan,3716
Pennsylvania,PA,42115,Susquehanna,3705
Pennsylvania,PA,42117,Tioga,3701
Pennsylvania,PA,42119,Union,3801
Pennsylvania,PA,42121,Venango,3732
Pennsylvania,PA,42123,Warren,3726
Pennsylvania,PA,42125,Washington,3773
Pennsylvania,PA,42127,Wayne,3738
Pennsylvania,PA,42129,Westmoreland,3792
Pennsylvania,PA,42131,Wyoming,3728
Pennsylvania,PA,42133,York,3964
